152076 silly lifecycle babel-plugin-transform-regenerator@6.21.0~preinstall: no script for preinstall, continuing
152133 silly lifecycle swap-case@1.1.2~preinstall: no script for preinstall, continuing
152134 silly lifecycle title-case@1.1.2~preinstall: no script for preinstall, continuing
152135 silly lifecycle upper-case-first@1.1.2~preinstall: no script for preinstall, continuing
152136 silly lifecycle change-case@2.3.1~preinstall: no script for preinstall, continuing
152137 silly lifecycle pascal-case@1.1.2~preinstall: no script for preinstall, continuing
152138 silly lifecycle punycode@1.3.2~preinstall: no script for preinstall, continuing
152139 silly lifecycle url@0.11.0~preinstall: no script for preinstall, continuing
152140 silly lifecycle user-home@1.1.1~preinstall: no script for preinstall, continuing
152141 silly lifecycle lru-cache@2.2.4~preinstall: no script for preinstall, continuing
152142 silly lifecycle useragent@2.1.9~preinstall: no script for preinstall, continuing
152143 silly lifecycle useref@1.2.0~preinstall: no script for preinstall, continuing
152144 silly lifecycle utf-8-validate@1.2.2~preinstall: no script for preinstall, continuing
152145 silly lifecycle ws@0.8.1~preinstall: no script for preinstall, continuing
152146 silly lifecycle util-deprecate@1.0.2~preinstall: no script for preinstall, continuing
152147 silly lifecycle readable-stream@2.0.6~preinstall: no script for preinstall, continuing
152148 silly lifecycle concat-stream@1.5.2~preinstall: no script for preinstall, continuing
152149 silly lifecycle readable-stream@2.0.6~preinstall: no script for preinstall, continuing
152150 silly lifecycle concat-stream@1.5.0~preinstall: no script for preinstall, continuing
152151 silly lifecycle readable-stream@2.2.2~preinstall: no script for preinstall, continuing
152152 silly lifecycle ordered-read-streams@0.3.0~preinstall: no script for preinstall, continuing
152153 silly lifecycle readable-stream@2.2.2~preinstall: no script for preinstall, continuing
152154 silly lifecycle readable-stream@2.0.6~preinstall: no script for preinstall, continuing
152155 silly lifecycle bl@1.0.3~preinstall: no script for preinstall, continuing
152156 silly lifecycle readable-stream@2.2.2~preinstall: no script for preinstall, continuing
152157 silly lifecycle are-we-there-yet@1.1.2~preinstall: no script for preinstall, continuing
152158 silly lifecycle bufferstreams@1.0.2~preinstall: no script for preinstall, continuing
152159 silly lifecycle bufferstreams@1.1.1~preinstall: no script for preinstall, continuing
152160 silly lifecycle lazystream@1.0.0~preinstall: no script for preinstall, continuing
152161 silly lifecycle merge-stream@1.0.1~preinstall: no script for preinstall, continuing
152162 silly lifecycle readdirp@2.1.0~preinstall: no script for preinstall, continuing
152163 silly lifecycle chokidar@1.6.1~preinstall: no script for preinstall, continuing
152164 silly lifecycle replacestream@4.0.2~preinstall: no script for preinstall, continuing
152165 silly lifecycle stream-browserify@2.0.1~preinstall: no script for preinstall, continuing
152166 silly lifecycle streamfilter@1.0.5~preinstall: no script for preinstall, continuing
152167 silly lifecycle inherits@2.0.1~preinstall: no script for preinstall, continuing
152168 silly lifecycle util@0.10.3~preinstall: no script for preinstall, continuing
152169 silly lifecycle assert@1.4.1~preinstall: no script for preinstall, continuing
152170 silly lifecycle utils-merge@1.0.0~preinstall: no script for preinstall, continuing
152171 silly lifecycle connect@3.5.0~preinstall: no script for preinstall, continuing
152172 silly lifecycle foxy@11.1.5~preinstall: no script for preinstall, continuing
152173 silly lifecycle v8flags@2.0.11~preinstall: no script for preinstall, continuing
152174 silly lifecycle vali-date@1.0.0~preinstall: no script for preinstall, continuing
152175 silly lifecycle validate-npm-package-license@3.0.1~preinstall: no script for preinstall, continuing
152176 silly lifecycle normalize-package-data@2.3.5~preinstall: no script for preinstall, continuing
152177 silly lifecycle read-pkg@1.1.0~preinstall: no script for preinstall, continuing
152178 silly lifecycle read-pkg-up@1.0.1~preinstall: no script for preinstall, continuing
152179 silly lifecycle meow@3.7.0~preinstall: no script for preinstall, continuing
152180 silly lifecycle vendors@1.0.1~preinstall: no script for preinstall, continuing
152181 silly lifecycle postcss-merge-rules@2.0.11~preinstall: no script for preinstall, continuing
152182 silly lifecycle verror@1.3.6~preinstall: no script for preinstall, continuing
152183 silly lifecycle jsprim@1.3.1~preinstall: no script for preinstall, continuing
152184 silly lifecycle http-signature@1.1.1~preinstall: no script for preinstall, continuing
152185 silly lifecycle vinyl@0.5.3~preinstall: no script for preinstall, continuing
152186 silly lifecycle strip-bom@2.0.0~preinstall: no script for preinstall, continuing
152187 silly lifecycle vinyl@1.2.0~preinstall: no script for preinstall, continuing
152188 silly lifecycle vinyl-file@1.3.0~preinstall: no script for preinstall, continuing
152189 silly lifecycle clone@0.2.0~preinstall: no script for preinstall, continuing
152190 silly lifecycle graceful-fs@3.0.11~preinstall: no script for preinstall, continuing
152191 silly lifecycle isarray@0.0.1~preinstall: no script for preinstall, continuing
152192 silly lifecycle readable-stream@1.0.34~preinstall: no script for preinstall, continuing
152193 silly lifecycle vinyl@0.4.6~preinstall: no script for preinstall, continuing
152194 silly lifecycle source-map@0.1.43~preinstall: no script for preinstall, continuing
152195 silly lifecycle vinyl-sourcemaps-apply@0.1.4~preinstall: no script for preinstall, continuing
152196 silly lifecycle vm-browserify@0.0.4~preinstall: no script for preinstall, continuing
152197 silly lifecycle void-elements@2.0.1~preinstall: no script for preinstall, continuing
152198 silly lifecycle dom-serialize@2.2.1~preinstall: no script for preinstall, continuing
152199 silly lifecycle async@0.9.2~preinstall: no script for preinstall, continuing
152200 silly lifecycle watchpack@0.2.9~preinstall: no script for preinstall, continuing
152201 silly lifecycle source-map@0.4.4~preinstall: no script for preinstall, continuing
152202 silly lifecycle webpack-core@0.6.9~preinstall: no script for preinstall, continuing
152203 silly lifecycle acorn@3.3.0~preinstall: no script for preinstall, continuing
152204 silly lifecycle interpret@0.6.6~preinstall: no script for preinstall, continuing
152205 silly lifecycle memory-fs@0.3.0~preinstall: no script for preinstall, continuing
152206 silly lifecycle supports-color@3.1.2~preinstall: no script for preinstall, continuing
152207 silly lifecycle weinre@2.0.0-pre-I0Z7U9OV~preinstall: no script for preinstall, continuing
152208 silly lifecycle browser-sync-ui@0.5.19~preinstall: no script for preinstall, continuing
152209 silly lifecycle whet.extend@0.9.9~preinstall: no script for preinstall, continuing
152210 silly lifecycle svgo@0.7.1~preinstall: no script for preinstall, continuing
152211 silly lifecycle postcss-svgo@2.1.6~preinstall: no script for preinstall, continuing
152212 silly lifecycle cssnano@3.9.1~preinstall: no script for preinstall, continuing
152213 silly lifecycle global-prefix@0.1.5~preinstall: no script for preinstall, continuing
152214 silly lifecycle which@1.2.12~preinstall: no script for preinstall, continuing
152215 silly lifecycle global-modules@0.2.3~preinstall: no script for preinstall, continuing
152216 silly lifecycle resolve-dir@0.1.1~preinstall: no script for preinstall, continuing
152217 silly lifecycle findup-sync@0.4.3~preinstall: no script for preinstall, continuing
152218 silly lifecycle liftoff@2.3.0~preinstall: no script for preinstall, continuing
152219 silly lifecycle which-module@1.0.0~preinstall: no script for preinstall, continuing
152220 silly lifecycle wide-align@1.1.0~preinstall: no script for preinstall, continuing
152221 silly lifecycle gauge@2.6.0~preinstall: no script for preinstall, continuing
152222 silly lifecycle gauge@2.7.2~preinstall: no script for preinstall, continuing
152223 silly lifecycle npmlog@3.1.2~preinstall: no script for preinstall, continuing
152224 silly lifecycle npmlog@4.0.2~preinstall: no script for preinstall, continuing
152225 silly lifecycle window-size@0.1.4~preinstall: no script for preinstall, continuing
152226 silly lifecycle ansi-regex@0.2.1~preinstall: no script for preinstall, continuing
152227 silly lifecycle ansi-styles@1.1.0~preinstall: no script for preinstall, continuing
152228 silly lifecycle has-ansi@0.1.0~preinstall: no script for preinstall, continuing
152229 silly lifecycle isarray@0.0.1~preinstall: no script for preinstall, continuing
152230 silly lifecycle lodash@2.4.2~preinstall: no script for preinstall, continuing
152231 silly lifecycle minimist@1.2.0~preinstall: no script for preinstall, continuing
152232 silly lifecycle readable-stream@1.0.34~preinstall: no script for preinstall, continuing
152233 silly lifecycle strip-ansi@0.3.0~preinstall: no script for preinstall, continuing
152234 silly lifecycle supports-color@0.2.0~preinstall: no script for preinstall, continuing
152235 silly lifecycle chalk@0.5.1~preinstall: no script for preinstall, continuing
152236 silly lifecycle wordwrap@0.0.3~preinstall: no script for preinstall, continuing
152237 silly lifecycle optimist@0.6.1~preinstall: no script for preinstall, continuing
152238 silly lifecycle bower-config@0.5.2~preinstall: no script for preinstall, continuing
152239 silly lifecycle handlebars@4.0.6~preinstall: no script for preinstall, continuing
152240 silly lifecycle ng-annotate@1.2.1~preinstall: no script for preinstall, continuing
152241 silly lifecycle optionator@0.6.0~preinstall: no script for preinstall, continuing
152242 silly lifecycle wrap-ansi@2.1.0~preinstall: no script for preinstall, continuing
152243 silly lifecycle cliui@3.2.0~preinstall: no script for preinstall, continuing
152244 silly lifecycle wrappy@1.0.2~preinstall: no script for preinstall, continuing
152245 silly lifecycle once@1.3.3~preinstall: no script for preinstall, continuing
152246 silly lifecycle end-of-stream@1.0.0~preinstall: no script for preinstall, continuing
152247 silly lifecycle duplexify@3.5.0~preinstall: no script for preinstall, continuing
152248 silly lifecycle once@1.3.3~preinstall: no script for preinstall, continuing
152249 silly lifecycle end-of-stream@0.1.5~preinstall: no script for preinstall, continuing
152250 silly lifecycle orchestrator@0.3.8~preinstall: no script for preinstall, continuing
152251 silly lifecycle once@1.4.0~preinstall: no script for preinstall, continuing
152252 silly lifecycle inflight@1.0.6~preinstall: no script for preinstall, continuing
152253 silly lifecycle glob@5.0.15~preinstall: no script for preinstall, continuing
152254 silly lifecycle globby@3.0.1~preinstall: no script for preinstall, continuing
152255 silly lifecycle globby@2.1.0~preinstall: no script for preinstall, continuing
152256 silly lifecycle glob@4.5.3~preinstall: no script for preinstall, continuing
152257 silly lifecycle glob@4.3.5~preinstall: no script for preinstall, continuing
152258 silly lifecycle findup-sync@0.2.1~preinstall: no script for preinstall, continuing
152259 silly lifecycle glob@6.0.4~preinstall: no script for preinstall, continuing
152260 silly lifecycle glob@5.0.15~preinstall: no script for preinstall, continuing
152261 silly lifecycle istanbul@0.4.5~preinstall: no script for preinstall, continuing
152262 silly lifecycle glob@7.1.1~preinstall: no script for preinstall, continuing
152263 silly lifecycle glob@4.5.3~preinstall: no script for preinstall, continuing
152264 silly lifecycle glob@7.1.1~preinstall: no script for preinstall, continuing
152265 silly lifecycle glob@7.1.1~preinstall: no script for preinstall, continuing
152266 silly lifecycle globule@1.1.0~preinstall: no script for preinstall, continuing
152267 silly lifecycle gaze@1.1.2~preinstall: no script for preinstall, continuing
152268 silly lifecycle glob@7.1.1~preinstall: no script for preinstall, continuing
152269 silly lifecycle rimraf@2.5.4~preinstall: no script for preinstall, continuing
152270 silly lifecycle del@2.0.2~preinstall: no script for preinstall, continuing
152271 silly lifecycle fs-extra@0.26.7~preinstall: no script for preinstall, continuing
152272 silly lifecycle fstream@1.0.10~preinstall: no script for preinstall, continuing
152273 silly lifecycle tar@2.2.1~preinstall: no script for preinstall, continuing
152274 silly lifecycle run-async@0.1.0~preinstall: no script for preinstall, continuing
152275 silly lifecycle inquirer@0.11.4~preinstall: no script for preinstall, continuing
152276 silly lifecycle glob@7.1.1~preinstall: no script for preinstall, continuing
152277 silly lifecycle glob@4.5.3~preinstall: no script for preinstall, continuing
152278 silly lifecycle write@0.2.1~preinstall: no script for preinstall, continuing
152279 silly lifecycle flat-cache@1.2.1~preinstall: no script for preinstall, continuing
152280 silly lifecycle file-entry-cache@1.3.1~preinstall: no script for preinstall, continuing
152281 silly lifecycle ws@1.1.1~preinstall: no script for preinstall, continuing
152282 silly lifecycle wtf-8@1.0.0~preinstall: no script for preinstall, continuing
152283 silly lifecycle engine.io-parser@1.3.2~preinstall: no script for preinstall, continuing
152284 silly lifecycle engine.io@1.8.2~preinstall: no script for preinstall, continuing
152285 silly lifecycle xml-char-classes@1.0.0~preinstall: no script for preinstall, continuing
152286 silly lifecycle ncname@1.0.0~preinstall: no script for preinstall, continuing
152287 silly lifecycle html-minifier@1.5.0~preinstall: no script for preinstall, continuing
152288 silly lifecycle xml-escape@1.0.0~preinstall: no script for preinstall, continuing
152289 silly lifecycle sax@0.6.1~preinstall: no script for preinstall, continuing
152290 silly lifecycle xmlbuilder@8.2.2~preinstall: no script for preinstall, continuing
152291 silly lifecycle xml2js@0.4.4~preinstall: no script for preinstall, continuing
152292 silly lifecycle selenium-webdriver@2.48.2~preinstall: no script for preinstall, continuing
152293 silly lifecycle xmlhttprequest-ssl@1.5.3~preinstall: no script for preinstall, continuing
152294 silly lifecycle xtend@4.0.1~preinstall: no script for preinstall, continuing
152295 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
152296 silly lifecycle glob-stream@3.1.18~preinstall: no script for preinstall, continuing
152297 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
152298 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
152299 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
152300 silly lifecycle through2@2.0.3~preinstall: no script for preinstall, continuing
152301 silly lifecycle is-my-json-valid@2.15.0~preinstall: no script for preinstall, continuing
152302 silly lifecycle eslint@1.10.3~preinstall: no script for preinstall, continuing
152303 silly lifecycle har-validator@2.0.6~preinstall: no script for preinstall, continuing
152304 silly lifecycle request@2.67.0~preinstall: no script for preinstall, continuing
152305 silly lifecycle request@2.78.0~preinstall: no script for preinstall, continuing
152306 silly lifecycle node-gyp@3.4.0~preinstall: no script for preinstall, continuing
152307 silly lifecycle har-validator@1.8.0~preinstall: no script for preinstall, continuing
152308 silly lifecycle request@2.57.0~preinstall: no script for preinstall, continuing
152309 silly lifecycle protractor@3.0.0~preinstall: no script for preinstall, continuing
152310 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
152311 silly lifecycle merge-stream@0.1.8~preinstall: no script for preinstall, continuing
152312 silly lifecycle stream-http@2.5.0~preinstall: no script for preinstall, continuing
152313 silly lifecycle node-libs-browser@0.7.0~preinstall: no script for preinstall, continuing
152314 silly lifecycle webpack@1.14.0~preinstall: no script for preinstall, continuing
152315 silly lifecycle through2@2.0.3~preinstall: no script for preinstall, continuing
152316 silly lifecycle gulp-sourcemaps@1.6.0~preinstall: no script for preinstall, continuing
152317 silly lifecycle gulp-util@3.0.7~preinstall: no script for preinstall, continuing
152318 silly lifecycle gulp-concat@2.6.0~preinstall: no script for preinstall, continuing
152319 silly lifecycle gulp-footer@1.0.5~preinstall: no script for preinstall, continuing
152320 silly lifecycle gulp-header@1.8.2~preinstall: no script for preinstall, continuing
152321 silly lifecycle ternary-stream@2.0.1~preinstall: no script for preinstall, continuing
152322 silly lifecycle gulp-if@2.0.2~preinstall: no script for preinstall, continuing
152323 silly lifecycle through2-filter@2.0.0~preinstall: no script for preinstall, continuing
152324 silly lifecycle unique-stream@2.2.1~preinstall: no script for preinstall, continuing
152325 silly lifecycle glob-stream@5.3.5~preinstall: no script for preinstall, continuing
152326 silly lifecycle vinyl-fs@2.4.4~preinstall: no script for preinstall, continuing
152327 silly lifecycle unique-stream@2.2.1~preinstall: no script for preinstall, continuing
152328 silly lifecycle glob-stream@4.1.1~preinstall: no script for preinstall, continuing
152329 silly lifecycle vinyl-fs@1.0.0~preinstall: no script for preinstall, continuing
152330 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
152331 silly lifecycle vinyl-fs@0.3.14~preinstall: no script for preinstall, continuing
152332 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
152333 silly lifecycle y18n@3.2.1~preinstall: no script for preinstall, continuing
152334 silly lifecycle yallist@2.0.0~preinstall: no script for preinstall, continuing
152335 silly lifecycle lru-cache@4.0.2~preinstall: no script for preinstall, continuing
152336 silly lifecycle cross-spawn@3.0.1~preinstall: no script for preinstall, continuing
152337 silly lifecycle yargs@3.29.0~preinstall: no script for preinstall, continuing
152338 silly lifecycle localtunnel@1.8.2~preinstall: no script for preinstall, continuing
152339 silly lifecycle camelcase@3.0.0~preinstall: no script for preinstall, continuing
152340 silly lifecycle yargs-parser@2.4.1~preinstall: no script for preinstall, continuing
152341 silly lifecycle yargs@4.8.1~preinstall: no script for preinstall, continuing
152342 silly lifecycle sass-graph@2.1.2~preinstall: no script for preinstall, continuing
152343 silly lifecycle node-sass@3.13.1~preinstall: no script for preinstall, continuing
152344 silly lifecycle yauzl@2.4.1~preinstall: no script for preinstall, continuing
152345 silly lifecycle extract-zip@1.5.0~preinstall: no script for preinstall, continuing
152346 silly lifecycle yeast@0.1.2~preinstall: no script for preinstall, continuing
152347 silly lifecycle engine.io-client@1.8.2~preinstall: no script for preinstall, continuing
152348 silly lifecycle socket.io-client@1.7.2~preinstall: no script for preinstall, continuing
152349 silly lifecycle socket.io@1.7.2~preinstall: no script for preinstall, continuing
152350 silly lifecycle babel-core@6.7.7~preinstall: no script for preinstall, continuing
152351 silly lifecycle babel-loader@6.2.10~preinstall: no script for preinstall, continuing
152352 silly lifecycle babel-preset-es2015@6.6.0~preinstall: no script for preinstall, continuing
152353 silly lifecycle browser-sync@2.9.12~preinstall: no script for preinstall, continuing
152354 silly lifecycle browser-sync-spa@1.0.3~preinstall: no script for preinstall, continuing
152355 silly lifecycle eslint-loader@1.1.1~preinstall: no script for preinstall, continuing
152356 silly lifecycle eslint-plugin-angular@0.12.0~preinstall: no script for preinstall, continuing
152357 silly lifecycle gulp@3.9.1~preinstall: no script for preinstall, continuing
152358 silly lifecycle gulp-autoprefixer@3.0.2~preinstall: no script for preinstall, continuing
152359 silly lifecycle gulp-angular-templatecache@1.8.1~preinstall: no script for preinstall, continuing
152360 silly lifecycle gulp-cssnano@2.1.2~preinstall: no script for preinstall, continuing
152361 silly lifecycle gulp-eslint@1.0.0~preinstall: no script for preinstall, continuing
152362 silly lifecycle gulp-filter@3.0.1~preinstall: no script for preinstall, continuing
152363 silly lifecycle gulp-flatten@0.2.0~preinstall: no script for preinstall, continuing
152364 silly lifecycle gulp-htmlmin@1.3.0~preinstall: no script for preinstall, continuing
152365 silly lifecycle gulp-inject@3.0.0~preinstall: no script for preinstall, continuing
152366 silly lifecycle gulp-load-plugins@0.10.0~preinstall: no script for preinstall, continuing
152367 silly lifecycle gulp-protractor@2.1.0~preinstall: no script for preinstall, continuing
152368 silly lifecycle gulp-rename@1.2.2~preinstall: no script for preinstall, continuing
152369 silly lifecycle gulp-replace@0.5.4~preinstall: no script for preinstall, continuing
152370 silly lifecycle gulp-rev@6.0.1~preinstall: no script for preinstall, continuing
152371 silly lifecycle gulp-rev-replace@0.4.3~preinstall: no script for preinstall, continuing
152372 silly lifecycle gulp-sass@2.0.4~preinstall: no script for preinstall, continuing
152373 silly lifecycle gulp-size@2.0.0~preinstall: no script for preinstall, continuing
152374 silly lifecycle gulp-uglify@1.4.2~preinstall: no script for preinstall, continuing
152375 silly lifecycle gulp-useref@3.0.8~preinstall: no script for preinstall, continuing
152376 silly lifecycle http-proxy-middleware@0.9.1~preinstall: no script for preinstall, continuing
152377 silly lifecycle karma@0.13.22~preinstall: no script for preinstall, continuing
152378 silly lifecycle karma-coverage@0.5.5~preinstall: no script for preinstall, continuing
152379 silly lifecycle karma-jasmine@0.3.8~preinstall: no script for preinstall, continuing
152380 silly lifecycle karma-ng-html2js-preprocessor@0.2.2~preinstall: no script for preinstall, continuing
152381 silly lifecycle karma-phantomjs-launcher@0.2.3~preinstall: no script for preinstall, continuing
152382 silly lifecycle karma-phantomjs-shim@1.2.0~preinstall: no script for preinstall, continuing
152383 silly lifecycle main-bower-files@2.9.0~preinstall: no script for preinstall, continuing
152384 silly lifecycle ng-annotate-loader@0.0.10~preinstall: no script for preinstall, continuing
152385 silly lifecycle phantomjs@1.9.20~preinstall: no script for preinstall, continuing
152386 silly lifecycle webpack-stream@2.1.1~preinstall: no script for preinstall, continuing
152387 silly lifecycle wiredep@2.2.2~preinstall: no script for preinstall, continuing
152388 silly doReverseSerial remove 0
152389 silly doSerial move 0
152390 silly doSerial finalize 1163
152391 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\abbrev
152392 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\acorn
152393 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\adm-zip
152394 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\after
152395 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\agent-base\node_modules\semver
152396 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\alphanum-sort
152397 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\amdefine
152398 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\ansi-escapes
152399 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\ansi-regex
152400 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\ansi-styles
152401 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\aproba
152402 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\archy
152403 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\arr-flatten
152404 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\arr-diff
152405 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\array-differ
152406 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\array-find-index
152407 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\array-slice
152408 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\array-uniq
152409 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\array-union
152410 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\array-unique
152411 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\arraybuffer.slice
152412 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\arrify
152413 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\asn1
152414 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\assert-plus
152415 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\async
152416 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\async-each
152417 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\async-each-series
152418 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\async-foreach
152419 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\asynckit
152420 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\aws-sign2
152421 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\aws4
152422 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\babel-generator\node_modules\lodash
152423 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\babel-helper-define-map\node_modules\lodash
152424 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\babel-helper-regex\node_modules\lodash
152425 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\babel-plugin-transform-es2015-block-scoping\node_modules\lodash
152426 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\babel-register\node_modules\json5
152427 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\babel-register\node_modules\lodash
152428 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\babel-runtime\node_modules\core-js
152429 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\babel-runtime
152430 silly finalize C:\Users\doomster\Projetos\courseMEAN\client\node_modules\babel-template\node_modules\lodash
